group,parameter,row,col,value,unit,convention
camera,K_left,0,0,771.509157800699,px,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,K_left,0,1,0.0,px,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,K_left,0,2,627.9696337721682,px,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,K_left,1,0,0.0,px,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,K_left,1,1,768.2123006187303,px,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,K_left,1,2,354.82974492521487,px,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,K_left,2,0,0.0,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,K_left,2,1,0.0,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,K_left,2,2,1.0,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,D_left,0,0,-0.3611719322339505,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,D_left,0,1,0.21567617313752283,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,D_left,0,2,-0.0007379156358052063,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,D_left,0,3,-0.0003222483278364913,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,D_left,0,4,-0.08636015534947294,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,K_right,0,0,768.9321846949775,px,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,K_right,0,1,0.0,px,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,K_right,0,2,630.2758486199863,px,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,K_right,1,0,0.0,px,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,K_right,1,1,765.6050111882294,px,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,K_right,1,2,374.09912145480513,px,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,K_right,2,0,0.0,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,K_right,2,1,0.0,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,K_right,2,2,1.0,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,D_right,0,0,-0.3643550678641019,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,D_right,0,1,0.23396909328432833,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,D_right,0,2,-0.0006565933277898737,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,D_right,0,3,-0.00010375806800834531,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,D_right,0,4,-0.1208366158999119,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,R_RL,0,0,0.99999716954857,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,R_RL,0,1,0.0007429331448649794,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,R_RL,0,2,0.0022602975889949696,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,R_RL,1,0,-0.0007590368609317843,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,R_RL,1,1,0.9999742781476416,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,R_RL,1,2,0.007132103907455289,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,R_RL,2,0,-0.0022549407735686236,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,R_RL,2,1,-0.00713379936956831,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,R_RL,2,2,0.9999720116826583,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,t_RL,0,0,-62.14864279816189,mm,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,t_RL,1,0,0.28196021289617923,mm,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,t_RL,2,0,-0.03480164664825424,mm,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,F,0,0,4.846028907470306e-10,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,F,0,1,-2.4097732742060252e-08,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,F,0,2,-0.00015107840868072394,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,F,1,0,1.2857725227408222e-07,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,F,1,1,3.272691923212504e-07,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,F,1,2,-0.035436182569056625,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,F,2,0,8.370674747809463e-05,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,F,2,1,0.03501271347175896,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,F,2,2,1.0,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,baseline_mm,0,0,62.14929214697288,mm,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,stereo_rms_px,0,0,0.19478073355224884,px,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,image_width,0,0,1280.0,px,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,image_height,0,0,720.0,px,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,retained_pair_count,0,0,23.0,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,columns,0,0,12.0,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,rows,0,0,9.0,dimensionless,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
camera,square_mm,0,0,19.0,mm,"P_R=R_RL@P_L+t_RL; pinhole; D=k1,k2,p1,p2,k3"
